config,prompt,depth,accepted_draft_rate,effective_mean_draft_len,serial_seconds_per_token,mtp_seconds_per_token,mtp_decode_speedup,all_tokens_matched
gpu,README,8,0.5401459854014599,2.4909090909090907,0.10581526532769203,0.07764879707247019,1.3627418494189147,True
gpu,README,2,0.6194690265486725,1.9482758620689655,0.10528034344315529,0.07598753180354834,1.385494974561591,True
dequant,README,8,0.9469026548672567,5.380952380952381,0.10532014071941376,0.05098535120487213,2.065694130382874,True
dequant,README,2,0.9655172413793104,1.9772727272727273,0.10288966447114944,0.06023913994431496,1.7080201438178004,True
bf16,README,8,0.9469026548672567,5.380952380952381,0.10539615619927645,0.050950976088643074,2.0685797268321453,True
bf16,README,2,0.9655172413793104,1.9772727272727273,0.10529000032693148,0.06036561727523804,1.7442048152487195,True
gpu,qwen-prefill-research-plan,8,0.49019607843137253,2.8333333333333335,0.107854257337749,0.07898892182856798,1.3654352387772595,True
gpu,qwen-prefill-research-plan,2,0.5491803278688525,1.967741935483871,0.10817320365458727,0.07992285117506981,1.3534702787020885,True
dequant,qwen-prefill-research-plan,8,0.9391304347826087,5.75,0.10475036688148975,0.05116046033799648,2.047486793305737,True
dequant,qwen-prefill-research-plan,2,0.9545454545454546,2,0.10443046037107706,0.0611198041588068,1.708619027962471,True
bf16,qwen-prefill-research-plan,8,0.9391304347826087,5.75,0.10400928184390068,0.05095448438078165,2.0412193962486556,True
bf16,qwen-prefill-research-plan,2,0.9545454545454546,2,0.1039006169885397,0.060957218520343304,1.7044842187782052,True
gpu,qwen-mtp-go-live-runbook,8,0.6615384615384615,3.0952380952380953,0.10810832027345896,0.06932751554995775,1.5593854678890888,True
gpu,qwen-mtp-go-live-runbook,2,0.7623762376237624,1.9803921568627452,0.10819803178310394,0.07056163251399994,1.5333833406084627,True
dequant,qwen-mtp-go-live-runbook,8,0.972972972972973,5.55,0.10441668797284365,0.0507776252925396,2.0563523278467466,True
dequant,qwen-mtp-go-live-runbook,2,0.9883720930232558,2,0.10448625031858683,0.06031207088381052,1.732426839063056,True
bf16,qwen-mtp-go-live-runbook,8,0.972972972972973,5.55,0.1043670391663909,0.05065497662872076,2.0603511463711945,True
bf16,qwen-mtp-go-live-runbook,2,0.9883720930232558,2,0.10439646057784557,0.060134624131023884,1.7360457820503228,True
gpu,private-benchmark-security,8,0.45517241379310347,2.338709677419355,0.10742804687470198,0.08297439850866795,1.2947131742507236,True
gpu,private-benchmark-security,2,0.5409836065573771,1.967741935483871,0.10793549194931984,0.08022178895771503,1.3454635374213946,True
dequant,private-benchmark-security,8,0.8813559322033898,4.916666666666667,0.10436675697565079,0.05393723491579294,1.9349667653261915,True
dequant,private-benchmark-security,2,0.9120879120879121,1.9782608695652173,0.10477611795067787,0.06283185910433531,1.6675635488787959,True
bf16,private-benchmark-security,8,0.8813559322033898,4.916666666666667,0.10439067240804434,0.05371235869824886,1.9435130934111762,True
bf16,private-benchmark-security,2,0.9120879120879121,1.9782608695652173,0.10396510921418667,0.0625869994983077,1.6611294685407916,True
